Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree
2025-09-23 13:39:12.580,SHORT,-21.0,-9450.0,SL,2.2
2025-09-23 14:12:14.654,LONG,-21.400000000001455,-9630.000000000655,SL,2.36
2025-09-23 14:25:08.045,SHORT,22.0,9900.0,TIME,2.28
2025-09-25 09:15:59.628,LONG,59.5,26775.0,TP,3.32
2025-09-25 09:28:33.592,SHORT,19.099999999998545,8594.999999999345,TIME,2.44
2025-09-25 10:10:27.171,SHORT,34.099999999998545,15344.999999999345,TIME,2.28
2025-09-25 10:46:12.361,LONG,31.299999999999272,14084.999999999673,TIME,2.4
2025-09-25 11:22:51.936,SHORT,59.0,26550.0,TP,2.44
2025-09-25 11:56:50.506,LONG,-23.0,-10350.0,SL,2.24
2025-09-25 12:12:45.692,SHORT,7.099999999998545,3194.999999999345,TIME,2.4
2025-09-25 12:48:48.924,SHORT,-22.69999999999709,-10214.99999999869,SL,2.84
2025-09-25 13:02:15.840,SHORT,-21.900000000001455,-9855.000000000655,SL,2.28
2025-09-25 13:17:25.633,SHORT,-21.0,-9450.0,SL,2.44
2025-09-25 13:50:32.113,SHORT,37.20000000000073,16740.000000000327,TIME,2.32
2025-09-25 14:26:07.422,SHORT,-21.80000000000291,-9810.00000000131,SL,2.44
2025-09-25 14:34:13.992,SHORT,41.80000000000291,18810.00000000131,TIME,2.24
2025-10-03 11:41:08.886,SHORT,-24.900000000001455,-11205.000000000655,SL,2.2
2025-10-03 12:13:04.797,SHORT,35.0,15750.0,TIME,2.56
2025-10-03 12:49:07.657,SHORT,-11.0,-4950.0,TIME,2.68
2025-10-03 13:34:29.209,SHORT,-3.0,-1350.0,TIME,2.2
2025-10-03 14:11:13.246,SHORT,-21.700000000000728,-9765.000000000327,SL,2.28
2025-10-03 14:41:44.266,SHORT,-24.0,-10800.0,SL,2.6
2025-10-06 09:17:51.632,SHORT,-22.0,-9900.0,SL,2.92
2025-10-06 09:47:17.766,SHORT,-21.900000000001455,-9855.000000000655,SL,2.48
2025-10-06 10:19:28.553,SHORT,-3.900000000001455,-1755.0000000006548,TIME,2.52
2025-10-06 10:55:44.984,SHORT,-15.0,-6750.0,TIME,2.36
2025-10-06 11:31:33.900,SHORT,4.0,1800.0,TIME,2.36
2025-10-06 12:15:02.429,SHORT,-9.0,-4050.0,TIME,2.04
2025-10-06 12:52:07.574,SHORT,-21.0,-9450.0,SL,2.4
2025-10-06 13:14:08.160,SHORT,-21.0,-9450.0,SL,2.28
2025-10-06 13:35:43.999,SHORT,20.799999999999272,9359.999999999673,TIME,2.56
2025-10-06 14:11:16.895,LONG,8.600000000002183,3870.0000000009823,TIME,2.4
2025-10-06 14:46:58.962,SHORT,-21.0,-9450.0,SL,2.12
2025-10-07 09:15:33.292,LONG,-21.200000000000728,-9540.000000000327,SL,2.96
2025-10-07 09:25:22.859,LONG,59.20000000000073,26640.000000000327,TP,2.64
2025-10-07 09:56:38.774,SHORT,18.299999999999272,8234.999999999673,TIME,2.52
2025-10-07 10:36:52.546,SHORT,4.200000000000728,1890.0000000003274,TIME,2.6
2025-10-07 11:12:25.483,SHORT,33.5,15075.0,TIME,2.16
2025-10-07 11:52:23.293,SHORT,-21.0,-9450.0,SL,2.0
2025-10-07 12:07:30.492,SHORT,8.0,3600.0,TIME,2.68
2025-10-07 12:45:14.285,SHORT,-21.0,-9450.0,SL,2.24
2025-10-07 13:09:07.865,SHORT,-1.2999999999992724,-584.9999999996726,TIME,2.24
2025-10-07 13:45:09.431,LONG,-22.600000000002183,-10170.000000000982,SL,2.4
2025-10-07 14:19:42.618,SHORT,59.099999999998545,26594.999999999345,TP,2.36
2025-10-07 14:42:23.656,SHORT,-21.0,-9450.0,SL,2.6
2025-10-07 14:49:17.914,SHORT,30.599999999998545,13769.999999999345,TIME,2.24
2025-10-08 09:16:09.631,SHORT,-21.0,-9450.0,SL,3.2
2025-10-08 09:22:49.307,SHORT,-21.799999999999272,-9809.999999999673,SL,2.52
2025-10-08 09:30:37.130,LONG,-22.0,-9900.0,SL,2.48
2025-10-08 09:54:33.738,LONG,-21.0,-9450.0,SL,2.32
2025-10-08 10:22:31.979,SHORT,14.900000000001455,6705.000000000655,TIME,2.48
2025-10-08 10:58:47.050,SHORT,60.29999999999927,27134.999999999673,TP,2.88
2025-10-08 11:26:42.246,SHORT,-22.799999999999272,-10259.999999999673,SL,2.2
2025-10-08 12:00:36.075,SHORT,36.0,16200.0,TIME,2.08
2025-10-08 12:38:41.686,SHORT,-21.0,-9450.0,SL,2.16
2025-10-08 12:51:08.082,SHORT,-21.200000000000728,-9540.000000000327,SL,2.36
2025-10-08 13:06:58.476,LONG,50.900000000001455,22905.000000000655,TIME,2.36
2025-10-08 13:45:58.700,SHORT,51.0,22950.0,TIME,2.28
2025-10-08 14:24:58.743,SHORT,8.200000000000728,3690.0000000003274,TIME,2.52
2025-10-08 15:00:31.144,LONG,-21.599999999998545,-9719.999999999345,SL,2.4
