Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason
2025-09-08,2025-09-08 10:47:28.901,2025-09-08 10:48:25.688,LONG,24914.0,24902.2,-12.799999999999272,-5759.999999999673,VWAP_CROSS
2025-09-08,2025-09-08 11:11:03.957,2025-09-08 11:11:38.526,LONG,24905.0,24902.9,-3.099999999998545,-1394.9999999993452,VWAP_CROSS
2025-09-08,2025-09-08 11:18:36.981,2025-09-08 11:25:04.693,LONG,24918.0,24902.1,-16.900000000001455,-7605.000000000655,VWAP_CROSS
2025-09-08,2025-09-08 13:00:24.764,2025-09-08 13:19:11.532,LONG,24972.0,24951.0,-22.0,-9900.0,SL
2025-09-08,2025-09-08 13:25:54.577,2025-09-08 13:55:55.527,LONG,24951.0,24944.8,-7.200000000000728,-3240.0000000003274,TIME
2025-09-08,2025-09-08 14:04:19.242,2025-09-08 14:06:58.826,LONG,24946.0,24926.0,-21.0,-9450.0,SL
2025-09-08,2025-09-08 14:16:32.199,2025-09-08 14:46:33.103,LONG,24955.0,24951.3,-4.700000000000728,-2115.0000000003274,TIME
2025-09-08,2025-09-08 14:52:45.777,2025-09-08 15:13:37.084,SHORT,24913.0,24886.0,26.0,11700.0,TRAIL_SL
2025-09-09,2025-09-09 09:24:45.654,2025-09-09 09:24:46.651,LONG,24950.0,24946.1,-4.900000000001455,-2205.000000000655,VWAP_CROSS
2025-09-09,2025-09-09 09:30:32.709,2025-09-09 09:31:54.648,LONG,24952.4,24948.3,-5.100000000002183,-2295.0000000009823,VWAP_CROSS
2025-09-09,2025-09-09 09:37:44.933,2025-09-09 09:38:20.635,LONG,24951.0,24944.6,-7.400000000001455,-3330.000000000655,VWAP_CROSS
2025-09-09,2025-09-09 09:46:05.380,2025-09-09 09:48:42.319,LONG,24956.8,24947.5,-10.299999999999272,-4634.999999999673,VWAP_CROSS
2025-09-09,2025-09-09 09:55:34.027,2025-09-09 09:56:36.306,LONG,24954.6,24945.7,-9.899999999997817,-4454.999999999018,VWAP_CROSS
2025-09-09,2025-09-09 10:11:45.544,2025-09-09 10:41:46.682,SHORT,24939.7,24918.6,20.100000000002183,9045.000000000982,TIME
2025-09-09,2025-09-09 11:07:32.909,2025-09-09 11:08:08.429,LONG,24943.8,24938.0,-6.799999999999272,-3059.9999999996726,VWAP_CROSS
2025-09-09,2025-09-09 11:13:56.686,2025-09-09 11:14:09.000,LONG,24943.6,24937.5,-7.099999999998545,-3194.999999999345,VWAP_CROSS
2025-09-09,2025-09-09 11:20:43.441,2025-09-09 11:20:48.228,SHORT,24938.0,24939.0,-2.0,-900.0,VWAP_CROSS
2025-09-09,2025-09-09 11:26:56.974,2025-09-09 11:30:03.444,LONG,24949.7,24938.0,-12.700000000000728,-5715.000000000327,VWAP_CROSS
2025-09-09,2025-09-09 13:06:41.024,2025-09-09 13:14:06.129,LONG,24953.8,24940.0,-14.799999999999272,-6659.999999999673,VWAP_CROSS
2025-09-09,2025-09-09 13:29:48.784,2025-09-09 13:48:18.836,LONG,24950.0,24940.1,-10.900000000001455,-4905.000000000655,VWAP_CROSS
2025-09-09,2025-09-09 14:00:49.515,2025-09-09 14:01:03.560,SHORT,24940.0,24943.0,-4.0,-1800.0,VWAP_CROSS
2025-09-09,2025-09-09 14:06:34.016,2025-09-09 14:24:07.440,LONG,24958.8,24941.1,-18.700000000000728,-8415.000000000327,VWAP_CROSS
2025-09-09,2025-09-09 14:29:54.381,2025-09-09 14:35:24.337,LONG,24955.2,24941.1,-15.100000000002183,-6795.000000000982,VWAP_CROSS
2025-09-09,2025-09-09 14:47:40.849,2025-09-09 14:49:09.063,SHORT,24937.6,24943.9,-7.30000000000291,-3285.0000000013097,VWAP_CROSS
2025-09-09,2025-09-09 14:54:33.553,2025-09-09 14:56:15.557,LONG,24949.0,24943.0,-7.0,-3150.0,VWAP_CROSS
2025-09-09,2025-09-09 15:02:18.906,2025-09-09 15:02:19.569,LONG,24947.0,24942.8,-5.200000000000728,-2340.0000000003274,VWAP_CROSS
2025-09-09,2025-09-09 15:07:47.830,2025-09-09 15:08:01.831,LONG,24945.0,24942.1,-3.900000000001455,-1755.0000000006548,VWAP_CROSS
2025-09-09,2025-09-09 15:13:58.555,2025-09-09 15:14:08.557,SHORT,24942.2,24944.3,-3.099999999998545,-1394.9999999993452,VWAP_CROSS
2025-09-10,2025-09-10 09:15:43.576,2025-09-10 09:15:44.457,SHORT,25025.0,25025.7,-1.7000000000007276,-765.0000000003274,VWAP_CROSS
2025-09-10,2025-09-10 09:21:08.844,2025-09-10 09:21:11.887,LONG,25035.0,25032.7,-3.2999999999992724,-1484.9999999996726,VWAP_CROSS
2025-09-10,2025-09-10 09:26:38.056,2025-09-10 09:47:38.727,LONG,25047.6,25083.0,34.400000000001455,15480.000000000655,TRAIL_SL
2025-09-10,2025-09-10 09:53:04.786,2025-09-10 10:23:04.901,LONG,25080.0,25085.6,4.599999999998545,2069.999999999345,TIME
2025-09-10,2025-09-10 10:28:29.821,2025-09-10 10:41:59.698,LONG,25116.0,25096.0,-21.0,-9450.0,SL
2025-09-10,2025-09-10 10:47:40.649,2025-09-10 11:17:40.679,LONG,25084.7,25097.1,11.399999999997817,5129.999999999018,TIME
2025-09-10,2025-09-10 11:23:04.476,2025-09-10 11:23:07.458,LONG,25080.0,25075.1,-5.900000000001455,-2655.000000000655,VWAP_CROSS
2025-09-10,2025-09-10 11:29:10.455,2025-09-10 11:31:33.426,LONG,25082.9,25076.1,-7.80000000000291,-3510.0000000013097,VWAP_CROSS
2025-09-10,2025-09-10 13:00:52.747,2025-09-10 13:08:26.243,SHORT,25067.1,25077.0,-10.900000000001455,-4905.000000000655,VWAP_CROSS
2025-09-10,2025-09-10 13:14:15.729,2025-09-10 13:44:16.263,SHORT,25060.1,25065.0,-5.900000000001455,-2655.000000000655,TIME
2025-09-10,2025-09-10 13:50:09.755,2025-09-10 14:06:30.776,SHORT,25055.5,25074.0,-19.5,-8775.0,VWAP_CROSS
2025-09-10,2025-09-10 14:12:25.533,2025-09-10 14:12:26.298,LONG,25075.0,25072.0,-4.0,-1800.0,VWAP_CROSS
2025-09-10,2025-09-10 14:19:28.522,2025-09-10 14:49:28.809,SHORT,25051.8,25053.0,-2.2000000000007276,-990.0000000003274,TIME
2025-09-10,2025-09-10 15:03:09.283,2025-09-10 15:12:12.704,SHORT,25056.4,25072.0,-16.599999999998545,-7469.999999999345,VWAP_CROSS
2025-09-10,2025-09-10 15:17:50.805,2025-09-10 15:25:36.039,LONG,25076.0,25071.4,-5.599999999998545,-2519.999999999345,VWAP_CROSS
2025-09-11,2025-09-11 09:15:39.088,2025-09-11 09:16:30.317,SHORT,25065.8,25065.0,-0.2000000000007276,-90.00000000032742,VWAP_CROSS
2025-09-11,2025-09-11 09:22:23.598,2025-09-11 09:29:52.852,LONG,25090.0,25081.0,-10.0,-4500.0,VWAP_CROSS
2025-09-11,2025-09-11 09:37:37.816,2025-09-11 09:37:49.090,SHORT,25079.6,25081.0,-2.400000000001455,-1080.0000000006548,VWAP_CROSS
2025-09-11,2025-09-11 09:52:02.349,2025-09-11 09:52:45.586,SHORT,25075.0,25081.0,-7.0,-3150.0,VWAP_CROSS
2025-09-11,2025-09-11 10:02:51.096,2025-09-11 10:29:11.936,SHORT,25072.2,25077.3,-6.099999999998545,-2744.999999999345,VWAP_CROSS
2025-09-11,2025-09-11 10:38:29.644,2025-09-11 10:45:31.642,LONG,25084.0,25075.0,-10.0,-4500.0,VWAP_CROSS
2025-09-11,2025-09-11 10:54:59.376,2025-09-11 10:57:37.645,LONG,25078.5,25077.0,-2.5,-1125.0,VWAP_CROSS
2025-09-11,2025-09-11 11:13:32.902,2025-09-11 11:29:50.059,LONG,25080.0,25077.3,-3.7000000000007276,-1665.0000000003274,VWAP_CROSS
2025-09-11,2025-09-11 13:20:11.660,2025-09-11 13:50:12.516,LONG,25093.0,25114.0,20.0,9000.0,TIME
2025-09-11,2025-09-11 14:01:11.771,2025-09-11 14:31:13.235,LONG,25102.0,25114.8,11.799999999999272,5309.999999999673,TIME
2025-09-11,2025-09-11 14:37:20.892,2025-09-11 15:07:21.343,LONG,25098.0,25101.1,2.099999999998545,944.9999999993452,TIME
2025-09-12,2025-09-12 09:15:27.744,2025-09-12 09:15:33.178,SHORT,25152.7,25156.0,-4.299999999999272,-1934.9999999996726,VWAP_CROSS
2025-09-12,2025-09-12 09:21:18.947,2025-09-12 09:21:19.963,SHORT,25149.9,25152.5,-3.599999999998545,-1619.9999999993452,VWAP_CROSS
2025-09-12,2025-09-12 09:26:57.984,2025-09-12 09:27:06.960,SHORT,25146.0,25150.4,-5.400000000001455,-2430.000000000655,VWAP_CROSS
2025-09-12,2025-09-12 09:33:08.830,2025-09-12 09:37:29.959,SHORT,25139.1,25149.0,-10.900000000001455,-4905.000000000655,VWAP_CROSS
2025-09-12,2025-09-12 09:49:29.508,2025-09-12 09:49:42.962,LONG,25153.0,25147.6,-6.400000000001455,-2880.000000000655,VWAP_CROSS
2025-09-12,2025-09-12 09:55:20.721,2025-09-12 09:57:04.251,LONG,25155.0,25148.0,-8.0,-3600.0,VWAP_CROSS
2025-09-12,2025-09-12 10:02:39.475,2025-09-12 10:32:40.495,LONG,25165.1,25170.0,3.900000000001455,1755.0000000006548,TIME
