Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-10-13 10:57:42.781,LONG,25272.0,25261.5,-11.5,-5175.0,STOP
2025-10-13 11:20:32.592,LONG,25260.7,25251.0,-10.700000000000728,-4815.000000000327,STOP
2025-10-13 11:46:28.583,LONG,25257.4,25272.5,14.099999999998545,6344.999999999345,TARGET
2025-10-13 12:15:40.597,SHORT,25265.0,25272.0,-8.0,-3600.0,STOP
2025-10-13 12:46:08.215,LONG,25283.1,25275.9,-8.19999999999709,-3689.9999999986903,STOP
2025-10-13 13:31:24.378,LONG,25278.0,25280.0,1.0,450.0,TIME
2025-10-13 14:14:44.170,SHORT,25286.3,25294.0,-8.700000000000728,-3915.0000000003274,STOP
2025-10-13 14:31:51.223,LONG,25333.3,25326.0,-8.299999999999272,-3734.9999999996726,STOP
2025-10-13 14:54:48.939,LONG,25332.9,25323.4,-10.5,-4725.0,STOP
2025-10-14 09:15:39.316,LONG,25353.2,25345.0,-9.200000000000728,-4140.000000000327,STOP
2025-10-14 09:34:17.067,SHORT,25352.5,25359.8,-8.299999999999272,-3734.9999999996726,STOP
2025-10-14 09:52:16.319,SHORT,25308.0,25315.5,-8.5,-3825.0,STOP
2025-10-14 10:08:47.811,LONG,25278.0,25270.0,-9.0,-4050.0,STOP
2025-10-14 10:25:17.290,LONG,25277.0,25292.0,14.0,6300.0,TARGET
2025-10-14 11:05:13.338,LONG,25272.0,25260.7,-12.299999999999272,-5534.999999999673,STOP
2025-10-14 11:23:30.359,SHORT,25210.5,25184.1,25.400000000001455,11430.000000000655,TARGET
2025-10-14 11:55:42.724,LONG,25225.0,25216.5,-9.5,-4275.0,STOP
2025-10-14 12:14:51.766,LONG,25182.0,25175.0,-8.0,-3600.0,STOP
2025-10-14 12:33:53.049,LONG,25164.0,25156.1,-8.900000000001455,-4005.000000000655,STOP
2025-10-14 12:52:33.489,LONG,25152.3,25145.0,-8.299999999999272,-3734.9999999996726,STOP
2025-10-14 13:13:01.921,SHORT,25132.1,25139.3,-8.200000000000728,-3690.0000000003274,STOP
2025-10-14 13:38:05.493,SHORT,25165.4,25172.5,-8.099999999998545,-3644.999999999345,STOP
2025-10-14 13:56:02.101,LONG,25172.0,25187.0,14.0,6300.0,TARGET
2025-10-14 14:23:38.375,LONG,25177.0,25193.6,15.599999999998545,7019.999999999345,TARGET
2025-10-14 14:42:47.635,LONG,25243.6,25235.2,-9.399999999997817,-4229.999999999018,STOP
2025-10-14 14:59:50.386,LONG,25234.2,25227.1,-8.100000000002183,-3645.0000000009823,STOP
2025-10-14 15:18:03.556,LONG,25218.4,25211.4,-8.0,-3600.0,STOP
2025-10-15 09:17:07.746,SHORT,25321.2,25328.4,-8.200000000000728,-3690.0000000003274,STOP
