Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason,Cumulative PnL,Peak,Drawdown
2025-09-09,2025-09-09 10:00:17.383,2025-09-09 10:15:48.464,LONG,24942.0,24921.4,-21.599999999998545,-9719.999999999345,SL,-40770.00000001408,59939.99999999214,-100710.00000000623
2025-09-09,2025-09-09 10:21:55.959,2025-09-09 10:51:56.961,SHORT,24915.2,24927.0,-12.799999999999272,-5759.999999999673,TIME,-46530.00000001375,59939.99999999214,-106470.0000000059
2025-09-09,2025-09-09 11:07:32.909,2025-09-09 11:37:33.725,LONG,24943.8,24941.0,-3.7999999999992724,-1709.9999999996726,TIME,-48240.000000013424,59939.99999999214,-108180.00000000556
2025-09-09,2025-09-09 11:46:42.899,2025-09-09 12:06:57.548,LONG,24943.0,24923.0,-21.0,-9450.0,SL,-57690.000000013424,59939.99999999214,-117630.00000000556
2025-09-09,2025-09-09 12:13:00.985,2025-09-09 12:43:01.035,LONG,24930.0,24942.5,11.5,5175.0,TIME,-52515.000000013424,59939.99999999214,-112455.00000000556
2025-09-09,2025-09-09 12:48:34.031,2025-09-09 13:18:35.288,SHORT,24958.5,24946.9,10.599999999998545,4769.999999999345,TIME,-47745.00000001408,59939.99999999214,-107685.00000000623
2025-09-09,2025-09-09 13:28:07.134,2025-09-09 13:58:07.833,SHORT,24949.1,24947.5,0.5999999999985448,269.99999999934516,TIME,-47475.000000014734,59939.99999999214,-107415.00000000687
2025-09-09,2025-09-09 14:04:40.288,2025-09-09 14:34:40.527,LONG,24953.0,24959.6,5.599999999998545,2519.999999999345,TIME,-44955.00000001539,59939.99999999214,-104895.00000000754
2025-09-09,2025-09-09 14:41:52.563,2025-09-09 15:11:52.845,LONG,24943.0,24949.0,5.0,2250.0,TIME,-42705.00000001539,59939.99999999214,-102645.00000000754
2025-09-10,2025-09-10 09:15:26.479,2025-09-10 09:23:28.021,SHORT,25030.1,25052.0,-22.900000000001455,-10305.000000000655,SL,-53010.00000001604,59939.99999999214,-112950.00000000818
2025-09-10,2025-09-10 09:28:57.006,2025-09-10 09:58:57.181,LONG,25058.5,25091.7,32.20000000000073,14490.000000000327,TIME,-38520.000000015716,59939.99999999214,-98460.00000000786
2025-09-10,2025-09-10 10:04:33.249,2025-09-10 10:34:33.452,LONG,25090.0,25108.1,17.099999999998545,7694.999999999345,TIME,-30825.00000001637,59939.99999999214,-90765.00000000851
2025-09-10,2025-09-10 10:40:04.899,2025-09-10 11:10:04.927,LONG,25099.8,25112.5,11.700000000000728,5265.000000000327,TIME,-25560.000000016043,59939.99999999214,-85500.00000000818
2025-09-10,2025-09-10 11:15:55.151,2025-09-10 11:20:11.510,LONG,25098.1,25076.5,-22.599999999998545,-10169.999999999345,SL,-35730.00000001539,59939.99999999214,-95670.00000000754
2025-09-10,2025-09-10 11:25:52.927,2025-09-10 11:55:52.927,LONG,25088.0,25078.1,-10.900000000001455,-4905.000000000655,TIME,-40635.00000001604,59939.99999999214,-100575.00000000818
2025-09-10,2025-09-10 12:01:31.726,2025-09-10 12:31:32.231,LONG,25074.6,25090.0,14.400000000001455,6480.000000000655,TIME,-34155.00000001539,59939.99999999214,-94095.00000000754
2025-09-10,2025-09-10 12:41:09.018,2025-09-10 13:11:10.333,LONG,25075.5,25072.6,-3.900000000001455,-1755.0000000006548,TIME,-35910.00000001604,59939.99999999214,-95850.00000000818
2025-09-10,2025-09-10 13:16:43.046,2025-09-10 13:46:44.052,SHORT,25050.2,25060.6,-11.399999999997817,-5129.999999999018,TIME,-41040.00000001506,59939.99999999214,-100980.0000000072
2025-09-10,2025-09-10 13:52:16.757,2025-09-10 14:07:00.605,SHORT,25055.2,25077.0,-22.799999999999272,-10259.999999999673,SL,-51300.000000014734,59939.99999999214,-111240.00000000687
2025-09-10,2025-09-10 14:13:21.841,2025-09-10 14:19:10.548,LONG,25071.0,25051.0,-21.0,-9450.0,SL,-60750.000000014734,59939.99999999214,-120690.00000000687
2025-09-10,2025-09-10 14:25:20.279,2025-09-10 14:55:20.540,LONG,25053.0,25061.0,7.0,3150.0,TIME,-57600.000000014734,59939.99999999214,-117540.00000000687
2025-09-11,2025-09-11 09:15:47.095,2025-09-11 09:45:47.311,LONG,25064.0,25077.4,12.400000000001455,5580.000000000655,TIME,-52020.00000001408,59939.99999999214,-111960.00000000623
2025-09-11,2025-09-11 09:51:41.080,2025-09-11 10:08:53.118,LONG,25076.0,25056.0,-21.0,-9450.0,SL,-61470.00000001408,59939.99999999214,-121410.00000000623
2025-09-11,2025-09-11 10:15:37.694,2025-09-11 10:45:38.338,LONG,25062.5,25070.0,6.5,2925.0,TIME,-58545.00000001408,59939.99999999214,-118485.00000000623
2025-09-11,2025-09-11 10:54:59.376,2025-09-11 11:24:59.395,LONG,25078.5,25085.6,6.099999999998545,2744.999999999345,TIME,-55800.000000014734,59939.99999999214,-115740.00000000687
2025-09-11,2025-09-11 11:35:47.244,2025-09-11 12:05:47.411,LONG,25073.0,25076.0,2.0,900.0,TIME,-54900.000000014734,59939.99999999214,-114840.00000000687
2025-09-11,2025-09-11 12:19:43.461,2025-09-11 12:33:03.961,SHORT,25091.3,25111.5,-21.200000000000728,-9540.000000000327,SL,-64440.00000001506,59939.99999999214,-124380.0000000072
2025-09-11,2025-09-11 12:39:51.905,2025-09-11 13:09:52.616,LONG,25097.0,25104.0,6.0,2700.0,TIME,-61740.00000001506,59939.99999999214,-121680.0000000072
2025-09-11,2025-09-11 13:20:11.660,2025-09-11 13:50:12.516,LONG,25093.0,25114.0,20.0,9000.0,TIME,-52740.00000001506,59939.99999999214,-112680.0000000072
2025-09-11,2025-09-11 14:01:11.771,2025-09-11 14:31:13.235,LONG,25102.0,25114.8,11.799999999999272,5309.999999999673,TIME,-47430.00000001539,59939.99999999214,-107370.00000000754
2025-09-11,2025-09-11 14:37:20.892,2025-09-11 15:07:21.343,LONG,25098.0,25101.1,2.099999999998545,944.9999999993452,TIME,-46485.00000001604,59939.99999999214,-106425.00000000818
2025-09-12,2025-09-12 09:15:27.744,2025-09-12 09:45:27.975,SHORT,25152.7,25140.5,11.200000000000728,5040.000000000327,TIME,-41445.000000015716,59939.99999999214,-101385.00000000786
2025-09-12,2025-09-12 09:51:03.980,2025-09-12 10:21:04.740,LONG,25150.0,25168.0,17.0,7650.0,TIME,-33795.000000015716,59939.99999999214,-93735.00000000786
2025-09-12,2025-09-12 10:29:36.497,2025-09-12 10:59:36.753,LONG,25165.8,25173.3,6.5,2925.0,TIME,-30870.000000015716,59939.99999999214,-90810.00000000786
2025-09-12,2025-09-12 11:05:36.514,2025-09-12 11:35:36.535,LONG,25183.3,25210.0,25.700000000000728,11565.000000000327,TIME,-19305.00000001539,59939.99999999214,-79245.00000000754
2025-09-12,2025-09-12 11:42:21.570,2025-09-12 12:12:22.066,LONG,25210.0,25212.0,1.0,450.0,TIME,-18855.00000001539,59939.99999999214,-78795.00000000754
2025-09-12,2025-09-12 12:18:07.320,2025-09-12 12:48:07.609,LONG,25210.9,25201.6,-10.30000000000291,-4635.00000000131,TIME,-23490.0000000167,59939.99999999214,-83430.00000000885
2025-09-12,2025-09-12 12:54:54.115,2025-09-12 13:24:56.892,LONG,25195.4,25213.7,17.299999999999272,7784.999999999673,TIME,-15705.000000017026,59939.99999999214,-75645.00000000917
2025-09-12,2025-09-12 13:30:49.889,2025-09-12 13:50:31.146,LONG,25212.8,25192.8,-21.0,-9450.0,SL,-25155.000000017026,59939.99999999214,-85095.00000000917
2025-09-12,2025-09-12 13:58:27.407,2025-09-12 14:28:27.434,LONG,25215.0,25212.7,-3.2999999999992724,-1484.9999999996726,TIME,-26640.0000000167,59939.99999999214,-86580.00000000885
2025-09-12,2025-09-12 14:34:52.890,2025-09-12 15:04:53.670,LONG,25206.0,25199.0,-8.0,-3600.0,TIME,-30240.0000000167,59939.99999999214,-90180.00000000885
2025-09-12,2025-09-12 15:10:40.938,2025-09-12 15:30:00.489,LONG,25203.0,25209.7,5.700000000000728,2565.0000000003274,EOD,-27675.00000001637,59939.99999999214,-87615.00000000851
2025-09-18,2025-09-18 09:15:41.321,2025-09-18 09:25:35.364,SHORT,25490.0,25510.0,-21.0,-9450.0,SL,-37125.00000001637,59939.99999999214,-97065.00000000851
2025-09-18,2025-09-18 09:31:57.176,2025-09-18 10:01:57.959,LONG,25505.0,25495.2,-10.799999999999272,-4859.999999999673,TIME,-41985.00000001604,59939.99999999214,-101925.00000000818
2025-09-18,2025-09-18 10:08:23.672,2025-09-18 10:38:26.965,LONG,25505.0,25500.3,-5.700000000000728,-2565.0000000003274,TIME,-44550.00000001637,59939.99999999214,-104490.00000000851
2025-09-18,2025-09-18 10:43:46.461,2025-09-18 11:13:46.597,LONG,25513.1,25516.4,2.3000000000029104,1035.0000000013097,TIME,-43515.00000001506,59939.99999999214,-103455.0000000072
2025-09-18,2025-09-18 11:20:30.114,2025-09-18 11:50:30.495,LONG,25515.0,25501.9,-14.099999999998545,-6344.999999999345,TIME,-49860.00000001441,59939.99999999214,-109800.00000000655
2025-09-18,2025-09-18 11:56:26.957,2025-09-18 12:26:27.157,LONG,25500.0,25507.1,6.099999999998545,2744.999999999345,TIME,-47115.00000001506,59939.99999999214,-107055.0000000072
2025-09-18,2025-09-18 12:32:18.726,2025-09-18 12:37:40.753,LONG,25500.0,25480.0,-21.0,-9450.0,SL,-56565.00000001506,59939.99999999214,-116505.0000000072
2025-09-18,2025-09-18 12:43:29.560,2025-09-18 13:01:44.993,LONG,25470.0,25450.0,-21.0,-9450.0,SL,-66015.00000001506,59939.99999999214,-125955.0000000072
2025-09-18,2025-09-18 13:11:49.681,2025-09-18 13:41:50.095,SHORT,25455.4,25467.0,-12.599999999998545,-5669.999999999345,TIME,-71685.0000000144,59939.99999999214,-131625.00000000655
2025-09-18,2025-09-18 13:47:23.770,2025-09-18 14:06:44.469,LONG,25473.0,25453.0,-21.0,-9450.0,SL,-81135.0000000144,59939.99999999214,-141075.00000000655
2025-09-18,2025-09-18 14:12:57.242,2025-09-18 14:42:57.257,LONG,25461.9,25446.7,-16.200000000000728,-7290.000000000327,TIME,-88425.00000001473,59939.99999999214,-148365.00000000687
